TITLE,URL,CATEGORY,WRITER
第３回　⻭科医院成功の秘訣は「褒める」。たったそれだけ！,https://www.whitecross.co.jp/articles/view/2430,経営,高橋 翔太
局所麻酔薬の出荷停止について　日本歯科麻酔学会,https://www.whitecross.co.jp/articles/view/2439,ニュース,WHITE CROSS編集部
オミクロン株対応2価ワクチン接種を開始　厚労省,https://www.whitecross.co.jp/articles/view/2438,ニュース,WHITE CROSS編集部
ざっくり学べる概ね10年程度の歯内治療の変遷　第１回「根管治療の乾燥・洗浄・貼薬」編,https://www.whitecross.co.jp/articles/view/2355,臨床,高林 正行
診療報酬点数について再考する #8 スケーリング・ルートプレーニングとは？,https://www.whitecross.co.jp/articles/view/2365,経営,WHITE CROSS編集部
「矯正歯科治療における標準治療の指針」を公開　日本矯正歯科学会,https://www.whitecross.co.jp/articles/view/2431,ニュース,WHITE CROSS編集部
新生児期の睡眠時間がブラキシズムの発生率に影響　東北大,https://www.whitecross.co.jp/articles/view/2419,ニュース,WHITE CROSS編集部
Perio Box Review #6「非外科的歯周治療における、消毒液による歯周ポケット内洗浄の付加的効果とは？」,https://www.whitecross.co.jp/articles/view/2364,臨床,鈴木 瑛一
広告可能な補綴歯科専門医（仮称）がもたらす歯科補綴の未来,https://www.whitecross.co.jp/articles/view/2379,レポート,山本 司将
歯科医療従事者の４割が使用！電動歯ブラシを正しく知ろう,https://www.whitecross.co.jp/articles/view/2412,ニュース,株式会社フィリップス・ジャパン
Dawsonに学ぶ 世界基準の咬合理論 #３ 模型上の模擬咬合調整,https://www.whitecross.co.jp/articles/view/2378,臨床,外川 正
【女医のお悩み相談室】歯科医院経営における人間関係の問題 ＃5 スタッフ同士の揉めごと,https://www.whitecross.co.jp/articles/view/2374,経営,角 祥太郎
根管治療による医原性疾患を考える,https://www.whitecross.co.jp/articles/view/2351,臨床,喜多 大作
日本の歯学部って面白い！「歯科医学教育の最高学府」東京歯科大学,https://www.whitecross.co.jp/articles/view/1395,ニュース,WHITE CROSS編集部
［謝礼あり］10月2日の座談会にご参加いただける方を募集しています！,https://www.whitecross.co.jp/articles/view/2416,ニュース,WHITE CROSS編集部
今年度より三師届のオンライン届出が可能に　厚労省,https://www.whitecross.co.jp/articles/view/2418,ニュース,WHITE CROSS編集部
コンサルタントの視点から　第７１回「オンライン資格確認の保険改定を考える」,https://www.whitecross.co.jp/articles/view/2375,経営,木村 泰久
歯科衛生士による局所麻酔「困難」、2学会が見解,https://oned.jp/posts/4793,ニュース,1D編集部
予防で年商1億円！とある開業医の「デンタルフィットネス」成功までの軌跡,https://oned.jp/posts/4766,ニュース,1D編集部
咬合採得、義歯修理、訪問義歯診療。補綴治療に関するセミナー3選,https://oned.jp/posts/4779,ニュース,1D編集部
ファーケーションプローブとは？根分岐部病変への適切なアプローチ,https://oned.jp/posts/4615,ニュース,小森 柚
13万年前のデニソワ人少女の大臼歯、ラオスで発見される,https://oned.jp/posts/4572,ニュース,小森 柚
コンポジットレジン修復にラバーダム防湿は必要か？,https://oned.jp/posts/4752,ニュース,Kasuchan
東京大学、ヒトの犬歯が450万年前から縮小を始めたと推定,https://oned.jp/posts/4397,ニュース,1D編集部
【1D的セミナーログ】テックを 8分 で完成させるコツとは？,https://oned.jp/posts/4577,ニュース,松田 哲
【無料LIVE】ランチョン勉強会,https://academy.doctorbook.jp/contents/2870,無料,-
審美補綴臨床におけるデジタルデンティストリーの活用　支台歯形成から印象まで,https://academy.doctorbook.jp/contents/4061,スペシャル,田中 秀樹先生
★ドクター向け★ Ivoclarの技工士が伝える！ IPS emaxジルキャド(酸化ジルコニウム)の研磨方法,https://academy.doctorbook.jp/contents/4076,無料,-
スピードセム Plus　早わかりビデオ,https://academy.doctorbook.jp/contents/4078,無料,-
歯質や修復物にやさしい PMTCペースト「プロキシット」,https://academy.doctorbook.jp/contents/4079,無料,-
歯科医院向け：IPS emaxも酸化ジルコニウムもオールセラミックスの効率化にこの一台『プログラマット CS6』,https://academy.doctorbook.jp/contents/4080,無料,-
全てのドクターに一度は使ってほしい、Ivoclarの保険用CR「テトリック N-ライン」北道敏行先生　20分,https://academy.doctorbook.jp/contents/4081,無料,北道 敏行先生
まとめ│Airway Dentistryの真髄を学ぶ 各専門領域からのアプローチ オンラインコース,https://academy.doctorbook.jp/contents/4072,スペシャル,葭澤 秀一郎先生
これからリンガル矯正治療を始めたい先生へ【プレミアム会員視聴無料・9/27まで】,https://academy.doctorbook.jp/contents/2571,プレミアム,高柳 譲司先生
名医は糖に介入する（全14回）│伊藤直人先生 カリオロジーシリーズ Step3【Step3-0無料公開中】,https://academy.doctorbook.jp/contents/4021,スペシャル,伊藤 直人先生
口腔機能検査は患者の幸せに繋がるのか？〜一般開業医の目線からどう取り組んだら良いか？〜,https://academy.doctorbook.jp/contents/4068,無料,相宮 秀俊先生
土屋 賢司先生症例 100本ノック 第3回,https://academy.doctorbook.jp/contents/3899,プレミアム,土屋 賢司先生
サージカルテクニック！ 歯周外科：基礎編 第2回 デブライドメント・縫合,https://academy.doctorbook.jp/contents/4065,スペシャル,山口 文誉先生
ツルギのトリセツ -Instruction manual for DENTCRAFT TSURUGI-,https://academy.doctorbook.jp/contents/4057,スペシャル,青島 徹児先生
デジトーク！～デジタルデンティストリーの現在と未来を多彩なゲストを呼んで語り合うトーク番組～【第21回を公開！】,https://academy.doctorbook.jp/contents/3361,プレミアム,遠山 敏成先生
基礎から学ぼう！ 口腔機能低下症,https://academy.doctorbook.jp/contents/4059,無料,上田 貴之先生
聞くに聞けない歯周外科処置の基本「ちょっとしたコツ・ポイントアドバイス」,https://academy.doctorbook.jp/contents/4052,プレミアム,辰巳 順一先生
